Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
FOXA1	HNF3A	ENSG00000129514	Forkhead box A1	14	37589984-37596059	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB011595, HPA050505	Enhanced		Supported	Nucleoplasm<br>Nucleoli fibrillar center	Urothelial cancer:1.00e-4 (favourable)	Tissue enhanced	Tissue enhanced		prostate: 146.0	breast: 36.3	Cell line enhanced		MCF7: 98.8;PC-3: 81.2;RT4: 94.9;SK-BR-3: 88.5;T-47d: 157.4
FOXL2	BPES, BPES1	ENSG00000183770	Forkhead box L2	3	138944224-138947140	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA069613	Enhanced		Supported	Nucleus<br>Cytokinetic bridge		Mixed	Tissue enhanced		endometrium: 12.1;ovary: 29.6;parathyroid gland: 24.4	fallopian tube: 7.7	Cell line enhanced		A-431: 4.3;fHDF/TERT166: 4.3;HEL: 7.2;hTCEpi: 5.1;K-562: 7.5;SiHa: 5.9
FOXO1	FKH1, FKHR, FOXO1A	ENSG00000150907	Forkhead box O1	13	40469953-40666597	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001252, CAB022326	Approved	Approved	Supported	Nucleoplasm<br>Cytosol	Renal cancer:1.33e-5 (favourable), Liver cancer:3.74e-4 (favourable)	Expressed in all	Expressed in all			ovary: 80.7	Cell line enhanced		HSkMC: 39.2;U-698: 40.3
FOXO3	AF6q21, FKHRL1, FOXO2, FOXO3A	ENSG00000118689	Forkhead box O3	6	108559835-108684774	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB004074, HPA063104	Supported		Enhanced	Nucleus		Expressed in all	Expressed in all			ovary: 55.1	Expressed in all		
FOXO4	AFX1, MLLT7	ENSG00000184481	Forkhead box O4	X	71096197-71103535	Cancer-related genes, Disease related genes, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors	Evidence at protein level	HPA039560, HPA040232	Approved		Supported	Nuclear speckles<br>Cytosol	Renal cancer:3.46e-4 (favourable), Head and neck cancer:4.61e-4 (favourable)	Expressed in all	Expressed in all			placenta: 172.7	Cell line enriched	8	BEWO: 154.9
FOXP1	12CC4, hFKH1B, HSPC215, QRF1	ENSG00000114861	Forkhead box P1	3	70954693-71583989	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003876, CAB011501	Supported		Enhanced	Nucleoplasm		Expressed in all	Expressed in all			ovary: 39.7	Expressed in all		
FSTL3	FLRG, FSRP	ENSG00000070404	Follistatin like 3	19	676365-683399	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB024899, HPA045378	Approved		Approved	Nucleoplasm	Lung cancer:4.61e-7 (unfavourable), Ovarian cancer:1.65e-4 (unfavourable), Colorectal cancer:3.01e-4 (unfavourable), Endometrial cancer:3.03e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 260.8	Expressed in all		
FUBP1	FBP, FUBP	ENSG00000162613	Far upstream element binding protein 1	1	77944055-77979110	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA006149	Enhanced		Enhanced	Nucleoplasm	Liver cancer:9.83e-9 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 69.5	Expressed in all		
FUS	ALS6, FUS1, hnRNP-P2, HNRNPP2, TLS	ENSG00000089280	FUS RNA binding protein	16	31180110-31194871	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA008784, CAB033036, CAB058691	Enhanced		Enhanced	Nucleoplasm	Liver cancer:4.38e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 145.8	Expressed in all		
GAS7	KIAA0394, MGC1348	ENSG00000007237	Growth arrest specific 7	17	9910609-10198551	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA004838, HPA064678	Enhanced		Approved	Plasma membrane<br>Actin filaments<br>Focal adhesion sites	Urothelial cancer:6.89e-4 (unfavourable)	Expressed in all	Tissue enhanced		cerebral cortex: 154.7	cervix, uterine: 47.6	Cell line enriched	11	WM-115: 526.3
GATA1	ERYF1, GATA-1, GF1, NF-E1, NFE1	ENSG00000102145	GATA binding protein 1	X	48786554-48794311	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA000232, HPA000233, CAB009195	Enhanced					Not detected	Tissue enriched	19	bone marrow: 33.2	testis: 1.7	Group enriched	12	HEL: 182.0;HMC-1: 176.5;K-562: 196.6
GATA2	NFE1B	ENSG00000179348	GATA binding protein 2	3	128479427-128493185	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA005633, CAB024847	Approved		Supported	Nucleoplasm	Urothelial cancer:5.22e-5 (favourable), Renal cancer:2.04e-4 (favourable)	Expressed in all	Tissue enhanced		prostate: 62.7;seminal vesicle: 74.7	endometrium: 40.5	Cell line enhanced		BEWO: 272.0;HEL: 324.7;HMC-1: 165.0;SH-SY5Y: 347.2
GATA3	HDR	ENSG00000107485	GATA binding protein 3	10	8053604-8075198	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB016217, HPA029730	Enhanced		Supported	Nucleoplasm	Renal cancer:3.13e-4 (unfavourable)	Group enriched	Tissue enhanced		parathyroid gland: 235.0;skin: 148.9	placenta: 44.3	Cell line enhanced		BEWO: 172.2;MCF7: 354.3;RT4: 149.5;SH-SY5Y: 145.4;T-47d: 506.9
GMPS		ENSG00000163655	Guanine monophosphate synthase	3	155870536-155944026	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA046630			Approved	Cytosol	Liver cancer:8.73e-7 (unfavourable), Endometrial cancer:5.54e-5 (unfavourable), Pancreatic cancer:1.04e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 181.7	Expressed in all		
GNA11	FBH, FBH2, FHH2, HHC2	ENSG00000088256	G protein subunit alpha 11	19	3094410-3124004	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA048886	Approved				Renal cancer:1.48e-11 (favourable), Liver cancer:4.86e-4 (unfavourable)	Expressed in all	Expressed in all			small intestine: 155.9	Expressed in all		
GNAQ	G-ALPHA-q, GAQ	ENSG00000156052	G protein subunit alpha q	9	77716087-78031458	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	CAB010036, HPA048886	Uncertain		Approved	Nuclear speckles<br>Plasma membrane<br>Cytosol	Renal cancer:1.11e-7 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 84.9	Mixed		
GNAS	GNAS1, GNASXL, GPSA, NESP, NESP55, SCG6, SgVI	ENSG00000087460	GNAS complex locus	20	58839718-58911192	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB010337, HPA018122, HPA027478, HPA028386	Uncertain		Supported	Nucleoplasm<br>Plasma membrane<br>Cytosol	Renal cancer:3.49e-4 (unfavourable), Ovarian cancer:8.76e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 1473.9	Expressed in all		
GOLGA5	golgin-84, GOLIM5, ret-II, rfg5	ENSG00000066455	Golgin A5	14	92794231-92839963	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA000992, HPA063876	Enhanced	Supported	Supported	Golgi apparatus		Expressed in all	Expressed in all			epididymis: 65.3	Expressed in all		
GOPC	CAL, dJ94G16.2, FIG, GOPC1, PIST	ENSG00000047932	Golgi associated PDZ and coiled-coil motif containing	6	117560269-117602542	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA019477, HPA024018	Approved		Enhanced	Golgi apparatus<br>Cytosol		Expressed in all	Expressed in all			parathyroid gland: 47.9	Expressed in all		
GPHN	KIAA1385	ENSG00000171723	Gephyrin	14	66507407-67181803	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA003116, CAB004419, HPA024694	Enhanced		Uncertain	Cytoplasmic bodies	Renal cancer:5.25e-12 (favourable), Urothelial cancer:4.61e-5 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 30.5	Mixed		
GRIN2A	GluN2A, NMDAR2A	ENSG00000183454	Glutamate ionotropic receptor NMDA type subunit 2A	16	9753404-10182754	Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins	Evidence at protein level	CAB022725	Enhanced					Mixed	Tissue enhanced		cerebral cortex: 25.8	testis: 6.1	Cell line enhanced		fHDF/TERT166: 3.3;U-138 MG: 4.4
H3F3A	H3.3A, H3F3	ENSG00000163041	H3 histone family member 3A	1	226061851-226072001	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	CAB011481, CAB037178, HPA042570	Supported		Supported	Nucleoplasm	Renal cancer:1.21e-6 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 1215.4	Expressed in all		
H3F3B	H3.3B	ENSG00000132475	H3 histone family member 3B	17	75776434-75785893	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	CAB037166, CAB037187, CAB037221, HPA042570	Supported		Enhanced	Nucleoplasm		Expressed in all	Expressed in all			bone marrow: 2832.4	Expressed in all		
HERPUD1	HERP, KIAA0025, Mif1, SUP	ENSG00000051108	Homocysteine inducible ER protein with ubiquitin like domain 1	16	56932048-56944863	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB037041, CAB037104, HPA040754, HPA041219	Approved		Uncertain	Plasma membrane<br>Cytosol	Renal cancer:1.41e-9 (favourable)	Expressed in all	Expressed in all			thyroid gland: 358.8	Expressed in all		
HEY1	bHLHb31, CHF-2, CHF2, HERP2, HESR-1, HESR1, HRT-1	ENSG00000164683	Hes related family bHLH transcription factor with YRPW motif 1	8	79764010-79767863	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA055599, HPA063472	Uncertain		Approved	Nucleoplasm<br>Nuclear membrane<br>Cytosol		Expressed in all	Tissue enhanced		cerebral cortex: 96.4	placenta: 28.8	Cell line enhanced		HEK93: 120.1;SK-MEL-30: 70.9
HIF1A	bHLHe78, HIF-1alpha, HIF1, MOP1, PASD8	ENSG00000100644	Hypoxia inducible factor 1 alpha subunit	14	61695513-61748259	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA000907, HPA001275, CAB017442	Supported		Supported	Nucleoplasm<br>Nuclear bodies<br>Plasma membrane		Expressed in all	Expressed in all			bone marrow: 292.4	Mixed		
HIP1	ILWEQ	ENSG00000127946	Huntingtin interacting protein 1	7	75533300-75738962	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA013606, CAB015334, CAB016402, HPA017964	Enhanced		Enhanced	Vesicles		Expressed in all	Mixed			testis: 35.2	Mixed		
HIST1H3B	H3/l, H3FL	ENSG00000274267	Histone cluster 1 H3 family member b	6	26031650-26032060	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA042570	Supported					Mixed	Tissue enriched	6	bone marrow: 6.1	lymph node: 0.9	Mixed		
HIST1H4I	H4/m, H4FM	ENSG00000276180	Histone cluster 1 H4 family member i	6	27138588-27139881	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA042201	Supported				Renal cancer:1.32e-5 (unfavourable), Cervical cancer:9.70e-4 (favourable)	Expressed in all	Mixed			thyroid gland: 6.1	Cell line enhanced		K-562: 67.9;SiHa: 46.7;U-2 OS: 76.3;U-266/84: 55.8
HLA-A		ENSG00000206503	Major histocompatibility complex, class I, A	6	29941260-29945884	Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB078470			Supported	Golgi apparatus<br>Plasma membrane	Ovarian cancer:6.47e-4 (favourable), Endometrial cancer:9.59e-4 (favourable)	Expressed in all	Mixed			gallbladder: 340.9	Cell line enhanced		A-431: 1127.9
HLF	MGC33822	ENSG00000108924	HLF, PAR bZIP transcription factor	17	55265012-55325065	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA068156, HPA071210			Enhanced	Nucleus	Lung cancer:2.71e-7 (favourable), Renal cancer:3.55e-6 (favourable), Head and neck cancer:1.88e-4 (favourable)	Tissue enhanced	Mixed			cerebral cortex: 65.4	Group enriched	5	HDLM-2: 25.3;Hep G2: 110.7
HMGA1	HMGIY	ENSG00000137309	High mobility group AT-hook 1	6	34236873-34246231	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB032200	Uncertain		Approved	Nucleus<br>Nucleoli	Liver cancer:1.29e-6 (unfavourable), Lung cancer:3.36e-4 (unfavourable), Endometrial cancer:7.13e-4 (unfavourable), Pancreatic cancer:8.71e-4 (unfavourable)	Expressed in all	Expressed in all			lymph node: 163.8	Expressed in all		
HMGA2	BABL, HMGIC, LIPO	ENSG00000149948	High mobility group AT-hook 2	12	65824131-65966295	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB017809, HPA039076	Approved		Supported	Nucleus<br>Nucleoli	Urothelial cancer:2.86e-4 (unfavourable), Head and neck cancer:4.79e-4 (unfavourable)	Mixed	Tissue enhanced		testis: 3.7	bone marrow: 2.9	Cell line enhanced		AF22: 292.5
HNF1A	HNF1, LFB1, MODY3, TCF1	ENSG00000135100	HNF1 homeobox A	12	120978543-121002512	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	CAB010430, HPA035231	Enhanced		Supported	Nucleoplasm		Mixed	Tissue enhanced		duodenum: 15.5;kidney: 10.6;small intestine: 15.7	liver: 6.3	Group enriched	7	A549: 8.0;CACO-2: 24.3;Hep G2: 22.1
HNRNPA2B1	HNRPA2B1	ENSG00000122566	Heterogeneous nuclear ribonucleoprotein A2/B1	7	26189927-26201529	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA001666, HPA005812, CAB012403, HPA065537	Supported		Enhanced	Nucleoplasm	Liver cancer:1.03e-6 (unfavourable), Renal cancer:8.01e-5 (unfavourable), Prostate cancer:5.12e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 753.7	Expressed in all		
HOOK3	HK3	ENSG00000168172	Hook microtubule tethering protein 3	8	42896932-43030539	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA024756	Approved		Supported	Golgi apparatus<br>Microtubule organizing center<br>Cytosol	Renal cancer:1.32e-4 (unfavourable)	Expressed in all	Mixed			thyroid gland: 36.6	Expressed in all		
HOXA11	HOX1, HOX1I	ENSG00000005073	Homeobox A11	7	27181510-27185223	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA006770, HPA035623	Enhanced		Supported	Nucleoplasm	Renal cancer:2.57e-5 (unfavourable)	Mixed	Tissue enhanced		endometrium: 96.3;smooth muscle: 68.5	cervix, uterine: 17.9	Cell line enhanced		HEK93: 46.1;U-937: 37.5
HOXA13	HOX1, HOX1J	ENSG00000106031	Homeobox A13	7	27193503-27200106	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level							Tissue enhanced	Tissue enhanced		cervix, uterine: 34.0;placenta: 24.5;prostate: 36.2;seminal vesicle: 32.5	rectum: 13.0	Cell line enhanced		HAP1: 27.6;HEK93: 34.0;RT4: 33.4
HOXA9	HOX1, HOX1G	ENSG00000078399	Homeobox A9	7	27162435-27175180	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA061982	Uncertain		Supported	Nucleus		Mixed	Mixed			kidney: 12.6	Cell line enhanced		HEK93: 113.8;SCLC-21H: 133.7
HOXC13	HOX3, HOX3G	ENSG00000123364	Homeobox C13	12	53938765-53946544	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA051634	Supported					Mixed	Tissue enriched	8	skin: 4.6	breast,testis: 0.5	Cell line enhanced		AN3-CA: 28.1;HaCaT: 56.8;SK-BR-3: 26.3;T-47d: 25.6
HOXD11	HOX4, HOX4F	ENSG00000128713	Homeobox D11	2	176104216-176109754	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA055155			Approved	Nucleoplasm		Mixed	Tissue enhanced		endometrium: 4.2	seminal vesicle: 1.3	Cell line enhanced		HEK93: 18.4;SCLC-21H: 7.0;U-251 MG: 3.8
HOXD13	HOX4I, SPD	ENSG00000128714	Homeobox D13	2	176092891-176095938	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA064064			Supported	Nucleus	Colorectal cancer:6.95e-5 (unfavourable)	Mixed	Group enriched	8	cervix, uterine: 7.9;colon: 4.9;prostate: 16.9;rectum: 9.5;seminal vesicle: 24.5	urinary bladder: 1.5	Cell line enhanced		HAP1: 20.6;HEK93: 52.3;HL-60: 52.4;NB-4: 24.7;SCLC-21H: 19.3
HRAS	HRAS1	ENSG00000174775	HRas proto-oncogene, GTPase	11	532242-537287	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB002015, HPA049830	Approved				Liver cancer:2.32e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 25.0	Expressed in all		
HSP90AA1	FLJ31884, Hsp89, Hsp90, HSP90N, HSPC1, HSPCA	ENSG00000080824	Heat shock protein 90 alpha family class A member 1	14	102080738-102139699	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB002058	Approved		Supported	Cytosol	Renal cancer:1.18e-5 (favourable), Liver cancer:3.09e-5 (unfavourable), Breast cancer:5.59e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 1021.5	Expressed in all		
HSP90AB1	HSPC2, HSPCB	ENSG00000096384	Heat shock protein 90 alpha family class B member 1	6	44246166-44253888	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB005230, HPA055729, HPA072606, HPA074351	Enhanced		Supported	Cytosol	Ovarian cancer:4.03e-4 (favourable), Renal cancer:9.94e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 1461.8	Expressed in all		
